,Date,Inversion,difference,2Y,10Y,Country
627,2022-01-31,False,0.5993999999999999,1.1846,1.784,U.S.
628,2022-02-01,False,0.6258999999999999,1.1691,1.795,U.S.
629,2022-02-02,False,0.6214999999999999,1.1495,1.771,U.S.
630,2022-02-03,False,0.6341000000000001,1.2019,1.836,U.S.
631,2022-02-04,False,0.5999999999999999,1.316,1.916,U.S.
632,2022-02-06,False,0.5879999999999999,1.322,1.91,U.S.
633,2022-02-07,False,0.6246,1.2944,1.919,U.S.
634,2022-02-08,False,0.6195000000000002,1.3455,1.965,U.S.
635,2022-02-09,False,0.5786,1.3664,1.945,U.S.
636,2022-02-10,False,0.4338000000000002,1.6092,2.043,U.S.
637,2022-02-11,False,0.4304999999999999,1.4875,1.918,U.S.
638,2022-02-14,False,0.41579999999999995,1.5702,1.986,U.S.
639,2022-02-15,False,0.46560000000000024,1.5774,2.043,U.S.
640,2022-02-16,False,0.5130000000000001,1.527,2.04,U.S.
641,2022-02-17,False,0.49770000000000003,1.4703,1.968,U.S.
642,2022-02-18,False,0.45740000000000003,1.4696,1.927,U.S.
643,2022-02-21,False,0.4364999999999999,1.4365,1.873,U.S.
644,2022-02-22,False,0.38249999999999984,1.5615,1.944,U.S.
645,2022-02-23,False,0.3924000000000001,1.6056,1.998,U.S.
646,2022-02-24,False,0.39229999999999987,1.5777,1.97,U.S.
647,2022-02-25,False,0.4002999999999999,1.5697,1.97,U.S.
648,2022-02-27,False,0.4058999999999999,1.4881,1.894,U.S.
649,2022-02-28,False,0.38570000000000015,1.4363,1.822,U.S.
650,2022-03-01,False,0.3833,1.3327,1.716,U.S.
651,2022-03-02,False,0.36409999999999987,1.5139,1.878,U.S.
652,2022-03-03,False,0.31400000000000006,1.526,1.84,U.S.
653,2022-03-04,False,0.2471000000000001,1.4899,1.737,U.S.
654,2022-03-06,False,0.2553000000000001,1.4277,1.683,U.S.
655,2022-03-07,False,0.2206999999999999,1.5563,1.777,U.S.
656,2022-03-08,False,0.24609999999999999,1.6169,1.863,U.S.
